alpha b0 d sigma tau Gmean Gstd Tmean Tstd
2.5 1.25 1 1.2 1 0.00236251 0.011923 140.432 119.149
2.6 1.25 1 0.6 1 0.0527371 0.00440228 100000 -nan
2.6 1.25 1 0.8 1 0.044246 0.00658582 52439.3 35486.3
2.6 1.25 1 1 1 0.0293664 0.00860551 980.709 951.333
2.6 1.25 1 1.2 1 0.00383394 0.0146359 150.198 122.772
2.7 1.25 1 0.6 1 0.0519213 0.00391246 100000 -nan
2.7 1.25 1 0.8 1 0.0428799 0.00566163 59970.9 35991.8
2.7 1.25 1 1 1 0.0286298 0.00857168 1174.3 1166.06
2.7 1.25 1 1.2 1 0.00530864 0.0111458 160.744 128.834
2.8 1.25 1 0.6 1 0.0508611 0.00470287 100000 -nan
2.8 1.25 1 0.8 1 0.0417462 0.0051057 67078.3 35888.6
2.8 1.25 1 1 1 0.0287715 0.0085806 1281.36 1205.9
2.8 1.25 1 1.2 1 0.00826195 0.0102054 173.312 145.787
2.9 1.25 1 0.6 1 0.0493848 0.00457828 100000 -nan
2.9 1.25 1 0.8 1 0.0420209 0.00640855 72388.6 34330.4
2.9 1.25 1 1 1 0.0283795 0.00734258 1377.75 1252.55
2.9 1.25 1 1.2 1 0.00654558 0.0115865 180.189 151.287
3 1.25 1 0.6 1 0.0477498 0.00386493 100000 -nan
3 1.25 1 0.8 1 0.0412375 0.00613968 75820.4 33795.7
3 1.25 1 1 1 0.0278228 0.007728 1613.48 1589.89
3 1.25 1 1.2 1 0.0081208 0.0110347 183.137 153.437
3.1 1.25 1 0.6 1 0.046807 0.00363022 100000 -nan
3.1 1.25 1 0.8 1 0.0403732 0.00598963 83237 29523.6
3.1 1.25 1 1 1 0.0291005 0.00737242 1826.11 1712.85
3.1 1.25 1 1.2 1 0.00889344 0.0104821 190.019 163.868
3.2 1.25 1 0.6 1 0.0459712 0.00396665 100000 -nan
3.2 1.25 1 0.8 1 0.0393167 0.00536603 85766.7 27798.8
3.2 1.25 1 1 1 0.0294094 0.00755041 1956.89 1863.7
3.2 1.25 1 1.2 1 0.00899857 0.00986912 208.517 181.862
3.3 1.25 1 0.6 1 0.0454544 0.00364969 100000 -nan
3.3 1.25 1 0.8 1 0.0392176 0.00506276 86688 27368.7
3.3 1.25 1 1 1 0.0278518 0.00759769 2195.61 2127.49
3.3 1.25 1 1.2 1 0.00953534 0.0120394 214.712 187.591
3.4 1.25 1 0.6 1 0.0444202 0.00385378 100000 -nan
3.4 1.25 1 0.8 1 0.0370792 0.00541429 91144.3 22831.1
3.4 1.25 1 1 1 0.0278489 0.00693615 2516.58 2474.23
3.4 1.25 1 1.2 1 0.00939233 0.0116149 221.954 196.066
3.5 1.25 1 0.6 1 0.0430594 0.0038165 100000 -nan
3.5 1.25 1 0.8 1 0.0369188 0.00509735 93137.4 20086.2
3.5 1.25 1 1 1 0.0294116 0.00726602 2615.97 2557.43
3.5 1.25 1 1.2 1 0.0103602 0.0103735 235.73 196.152
3.6 1.25 1 0.6 1 0.0422056 0.00334214 100000 -nan
3.6 1.25 1 0.8 1 0.0364682 0.00466556 93997.1 19659.3
3.6 1.25 1 1 1 0.0286318 0.00715318 2964.04 2937.5
3.6 1.25 1 1.2 1 0.0121866 0.0100225 249.175 218.081
3.7 1.25 1 0.6 1 0.0415972 0.00359231 100000 -nan
3.7 1.25 1 0.8 1 0.0370756 0.00505727 95247.9 17427.8
3.7 1.25 1 1 1 0.0278917 0.00727832 3269.75 3041.22
3.7 1.25 1 1.2 1 0.0122483 0.00947851 268.668 245.225
3.8 1.25 1 0.6 1 0.0415561 0.00309009 100000 -nan
3.8 1.25 1 0.8 1 0.036104 0.00520207 96048.2 15865.3
3.8 1.25 1 1 1 0.0283315 0.00670348 3630.29 3490.77
3.8 1.25 1 1.2 1 0.0119511 0.00956607 260.96 220.666
3.9 1.25 1 0.6 1 0.0406552 0.00265278 100000 -nan
3.9 1.25 1 0.8 1 0.0350214 0.00409944 97526.6 11866.8
3.9 1.25 1 1 1 0.0281636 0.00667527 3922.27 3828.65
3.9 1.25 1 1.2 1 0.0132879 0.00945446 273.335 231.748
4 1.25 1 0.6 1 0.0397147 0.00327783 100000 -nan
4 1.25 1 0.8 1 0.0346637 0.0054973 97751.6 12304.7
4 1.25 1 1 1 0.0269473 0.00655464 4710.27 4600.92
4 1.25 1 1.2 1 0.0143251 0.00891283 286.574 245.594
4.1 1.25 1 0.6 1 0.0393613 0.00348415 100000 -nan
4.1 1.25 1 0.8 1 0.0345803 0.00406424 98097.5 10791.6
4.1 1.25 1 1 1 0.0271736 0.00564342 4960.07 4950.6
4.1 1.25 1 1.2 1 0.0134407 0.00859984 309.953 256.204
4.2 1.25 1 0.6 1 0.0380595 0.00302197 100000 -nan
4.2 1.25 1 0.8 1 0.0343478 0.00437258 98255.1 10512.7
4.2 1.25 1 1 1 0.0263052 0.00495618 5722.14 5859.09
4.2 1.25 1 1.2 1 0.0149313 0.00875076 314.907 273.784
4.3 1.25 1 0.6 1 0.0378077 0.00295963 100000 -nan
4.3 1.25 1 0.8 1 0.0336084 0.0046603 98761.7 8932.9
4.3 1.25 1 1 1 0.026261 0.00552688 5905.95 5960.48
4.3 1.25 1 1.2 1 0.0131591 0.0090841 341.15 304.259
4.4 1.25 1 0.6 1 0.0368922 0.00286678 100000 -nan
4.4 1.25 1 0.8 1 0.0332549 0.00456648 99144.5 7819.96
4.4 1.25 1 1 1 0.0261126 0.00659983 6604.88 6623.6
4.4 1.25 1 1.2 1 0.0120566 0.00791752 333.417 308.845
4.5 1.25 1 0.6 1 0.0361709 0.0030116 100000 -nan
4.5 1.25 1 0.8 1 0.0322675 0.00419594 99251.4 6594.48
4.5 1.25 1 1 1 0.0262077 0.00532444 7103.35 7313.02
4.5 1.25 1 1.2 1 0.0144273 0.00725472 353.697 317.028
4.6 1.25 1 0.6 1 0.0361107 0.00262331 100000 -nan
4.6 1.25 1 0.8 1 0.0322276 0.00459531 99436.2 6325.7
4.6 1.25 1 1 1 0.0250937 0.00603579 7666.14 7522.79
4.6 1.25 1 1.2 1 0.0150236 0.0085186 354.207 307.753
4.7 1.25 1 0.6 1 0.0354319 0.00296455 100000 -nan
4.7 1.25 1 0.8 1 0.0320561 0.00394769 99462 6139.67
4.7 1.25 1 1 1 0.0255875 0.00591305 8095.06 7972.87
4.7 1.25 1 1.2 1 0.013949 0.0087059 378.643 328.157
4.8 1.25 1 0.6 1 0.0343895 0.00280291 100000 -nan
4.8 1.25 1 0.8 1 0.0306784 0.00401298 99771.3 3428.75
4.8 1.25 1 1 1 0.0250487 0.00540037 8681.11 8471.55
4.8 1.25 1 1.2 1 0.0146859 0.00837658 373.777 350.94
4.9 1.25 1 0.6 1 0.0342306 0.00266408 100000 -nan
4.9 1.25 1 0.8 1 0.0310503 0.00431085 99738.4 3751.18
4.9 1.25 1 1 1 0.0249911 0.00552013 9935.49 10087.9
4.9 1.25 1 1.2 1 0.0142161 0.00759376 379.052 347.717
5 1.25 1 0.6 1 0.0340896 0.0026773 100000 -nan
5 1.25 1 0.8 1 0.0296274 0.00400883 99471.9 6120.78
5 1.25 1 1 1 0.0239195 0.00529452 10930.3 10438.4
5 1.25 1 1.2 1 0.0150645 0.00832683 426.206 366.096
5.1 1.25 1 0.6 1 0.0330084 0.00263805 100000 -nan
5.1 1.25 1 0.8 1 0.0295997 0.00345046 99709.7 4742.4
5.1 1.25 1 1 1 0.0249793 0.00531324 11810.9 12092.8
5.1 1.25 1 1.2 1 0.0152626 0.00766206 431.88 381.811
5.2 1.25 1 0.6 1 0.0325483 0.00265319 100000 -nan
5.2 1.25 1 0.8 1 0.0291532 0.0037591 99833 2878.57
5.2 1.25 1 1 1 0.0243812 0.00522375 12753.4 12961.3
5.2 1.25 1 1.2 1 0.0161174 0.00744097 439.466 380.179
5.3 1.25 1 0.6 1 0.0323381 0.00248453 100000 -nan
5.3 1.25 1 0.8 1 0.0291867 0.0036464 99910.9 2139.88
5.3 1.25 1 1 1 0.0245502 0.00512523 14263 14462.1
5.3 1.25 1 1.2 1 0.0148038 0.00751859 439.977 404.285
5.4 1.25 1 0.6 1 0.0320353 0.00299342 100000 -nan
5.4 1.25 1 0.8 1 0.028567 0.00373874 99952.4 1454.41
5.4 1.25 1 1 1 0.023718 0.00533421 15193.1 14903.2
5.4 1.25 1 1.2 1 0.0136589 0.0073583 447.158 408.965
5.5 1.25 1 0.6 1 0.031598 0.00257618 100000 -nan
5.5 1.25 1 0.8 1 0.0280995 0.00402877 99973.9 826.722
5.5 1.25 1 1 1 0.0232887 0.00513901 17129.6 16580.7
5.5 1.25 1 1.2 1 0.0149189 0.00713721 506.151 471.039
5.6 1.25 1 0.6 1 0.0314208 0.00270611 100000 -nan
5.6 1.25 1 0.8 1 0.0278101 0.00326541 100000 -nan
5.6 1.25 1 1 1 0.0233011 0.00495974 18183.4 18440.1
5.6 1.25 1 1.2 1 0.0147873 0.00701006 495.235 455.626
5.7 1.25 1 0.6 1 0.0305552 0.0027548 100000 -nan
5.7 1.25 1 0.8 1 0.0275992 0.00397928 100000 -nan
5.7 1.25 1 1 1 0.0232153 0.00471885 18027.3 16937
5.7 1.25 1 1.2 1 0.0145821 0.00752013 508.636 476.591
5.8 1.25 1 0.6 1 0.0303004 0.00206416 100000 -nan
5.8 1.25 1 0.8 1 0.0274743 0.00318074 100000 -nan
5.8 1.25 1 1 1 0.0234082 0.00420627 21139.7 20878.7
5.8 1.25 1 1.2 1 0.0144566 0.00729987 528.947 477.957
5.9 1.25 1 0.6 1 0.0297685 0.00240896 100000 -nan
5.9 1.25 1 0.8 1 0.0273768 0.00368435 100000 -nan
5.9 1.25 1 1 1 0.0221185 0.00424936 21640.1 20652.8
5.9 1.25 1 1.2 1 0.0149506 0.00748475 530.539 466.783
6 1.25 1 0.6 1 0.029539 0.00214277 100000 -nan
6 1.25 1 0.8 1 0.0266195 0.00323045 99885 3184.73
6 1.25 1 1 1 0.022353 0.00450637 24173 22595.6
6 1.25 1 1.2 1 0.0156217 0.00671488 524.113 487.693
6.1 1.25 1 0.6 1 0.0285468 0.00233015 100000 -nan
6.1 1.25 1 0.8 1 0.0267478 0.00350142 100000 -nan
6.1 1.25 1 1 1 0.0228312 0.00358281 26366.9 24026.3
6.1 1.25 1 1.2 1 0.0156593 0.00587642 528.037 496.797
6.2 1.25 1 0.6 1 0.0289591 0.00243412 100000 -nan
6.2 1.25 1 0.8 1 0.026257 0.00329711 100000 -nan
6.2 1.25 1 1 1 0.0232752 0.00451738 27719.1 25484.5
6.2 1.25 1 1.2 1 0.0147036 0.00637756 567.323 552.466
6.3 1.25 1 0.6 1 0.0282946 0.0022539 100000 -nan
6.3 1.25 1 0.8 1 0.025834 0.00286782 100000 -nan
6.3 1.25 1 1 1 0.0218686 0.00408789 28853.6 26437.3
6.3 1.25 1 1.2 1 0.0140602 0.0062711 582.145 538.249
6.4 1.25 1 0.6 1 0.0279381 0.00188705 100000 -nan
6.4 1.25 1 0.8 1 0.0254447 0.00290232 100000 -nan
6.4 1.25 1 1 1 0.0214179 0.00464038 30507.5 27199
6.4 1.25 1 1.2 1 0.0153904 0.00772888 613.37 605.99
6.5 1.25 1 0.6 1 0.0272952 0.00190729 100000 -nan
6.5 1.25 1 0.8 1 0.0253918 0.00336656 100000 -nan
6.5 1.25 1 1 1 0.0215846 0.00431288 34510 29246.5
6.5 1.25 1 1.2 1 0.0145705 0.00560063 581.245 559.931
6.6 1.25 1 0.6 1 0.027094 0.00230284 100000 -nan
6.6 1.25 1 0.8 1 0.0247925 0.00291913 99992.5 236.079
6.6 1.25 1 1 1 0.0197619 0.00431942 36020.9 29024.5
6.6 1.25 1 1.2 1 0.0137795 0.00668158 635.055 566.796
6.7 1.25 1 0.6 1 0.0269202 0.00191647 100000 -nan
6.7 1.25 1 0.8 1 0.024967 0.00283099 100000 -nan
6.7 1.25 1 1 1 0.021142 0.00396787 37044.4 30147.1
6.7 1.25 1 1.2 1 0.0143514 0.00566157 624.42 592.827
6.8 1.25 1 0.6 1 0.0266166 0.00225761 100000 -nan
6.8 1.25 1 0.8 1 0.0241342 0.00272075 100000 -nan
6.8 1.25 1 1 1 0.0201995 0.00447381 39479.6 32009.1
6.8 1.25 1 1.2 1 0.0139799 0.00642238 639.931 570.722
6.9 1.25 1 0.6 1 0.0263209 0.00218991 100000 -nan
6.9 1.25 1 0.8 1 0.0240975 0.00314614 100000 -nan
6.9 1.25 1 1 1 0.0215484 0.00434558 41360.7 32126.2
6.9 1.25 1 1.2 1 0.0145325 0.00633023 650.652 599.753
7 1.25 1 0.6 1 0.0256844 0.00217187 100000 -nan
7 1.25 1 0.8 1 0.0234941 0.00323121 99920 1885.68
7 1.25 1 1 1 0.0200401 0.00419247 40166.8 31587.9
7 1.25 1 1.2 1 0.0137493 0.00637073 638.514 584.243
7.1 1.25 1 0.6 1 0.0254345 0.00234545 100000 -nan
7.1 1.25 1 0.8 1 0.0233123 0.00276576 100000 -nan
7.1 1.25 1 1 1 0.0199429 0.00389274 43391.8 34238.4
7.1 1.25 1 1.2 1 0.0126852 0.00573957 641.273 592.047
7.2 1.25 1 0.6 1 0.0252689 0.00213674 100000 -nan
7.2 1.25 1 0.8 1 0.0230096 0.0029482 99914.9 2688.58
7.2 1.25 1 1 1 0.0198406 0.00376757 46501.5 33632.3
7.2 1.25 1 1.2 1 0.0133917 0.00557215 637.692 585.798
7.3 1.25 1 0.6 1 0.0247518 0.00216198 100000 -nan
7.3 1.25 1 0.8 1 0.0225983 0.00310346 100000 -nan
7.3 1.25 1 1 1 0.0201708 0.00395649 47125.3 34027.5
7.3 1.25 1 1.2 1 0.0138473 0.00566871 675.673 621.639
7.4 1.25 1 0.6 1 0.0247476 0.00189709 100000 -nan
7.4 1.25 1 0.8 1 0.022696 0.00263454 100000 -nan
7.4 1.25 1 1 1 0.0195053 0.00399494 50544.1 35185.6
7.4 1.25 1 1.2 1 0.0134755 0.00533675 679.789 613.926
7.5 1.25 1 0.6 1 0.024427 0.00214789 100000 -nan
7.5 1.25 1 0.8 1 0.0224884 0.00272377 100000 -nan
7.5 1.25 1 1 1 0.0193493 0.00353752 52149.3 35120.4
7.5 1.25 1 1.2 1 0.0129622 0.00598605 669.713 610.209
7.6 1.25 1 0.6 1 0.0239211 0.00220234 100000 -nan
7.6 1.25 1 0.8 1 0.0224855 0.00266374 100000 -nan
7.6 1.25 1 1 1 0.0191575 0.00426039 52803.5 34790.7
7.6 1.25 1 1.2 1 0.0136428 0.00514717 733.281 680.766
7.7 1.25 1 0.6 1 0.0239503 0.00195056 100000 -nan
7.7 1.25 1 0.8 1 0.0219036 0.00323823 100000 -nan
7.7 1.25 1 1 1 0.019547 0.00380685 55107.5 35664.5
7.7 1.25 1 1.2 1 0.0142513 0.00572471 726.842 651.902
7.8 1.25 1 0.6 1 0.0235306 0.00180342 100000 -nan
7.8 1.25 1 0.8 1 0.0216562 0.00268317 100000 -nan
7.8 1.25 1 1 1 0.0189216 0.00426486 55783.2 35582.2
7.8 1.25 1 1.2 1 0.0129668 0.00608634 772.568 699.276
7.9 1.25 1 0.6 1 0.0234755 0.00203526 100000 -nan
7.9 1.25 1 0.8 1 0.0218652 0.00271337 100000 -nan
7.9 1.25 1 1 1 0.0191891 0.00346631 57503 35598.9
7.9 1.25 1 1.2 1 0.0127314 0.0051213 723.998 647.87
8 1.25 1 0.6 1 0.0232456 0.00206607 100000 -nan
8 1.25 1 0.8 1 0.0215193 0.00245168 100000 -nan
8 1.25 1 1 1 0.0177548 0.00343955 60889.5 35999.1
8 1.25 1 1.2 1 0.0135393 0.00558432 696.992 648.41
8.1 1.25 1 0.6 1 0.0226785 0.00169519 100000 -nan
8.1 1.25 1 0.8 1 0.0211525 0.00291578 100000 -nan
8.1 1.25 1 1 1 0.0182123 0.00328539 61212.6 35733.8
8.1 1.25 1 1.2 1 0.0127093 0.00590312 787.83 733.442
8.2 1.25 1 0.6 1 0.0228997 0.00181908 100000 -nan
8.2 1.25 1 0.8 1 0.021373 0.00266857 100000 -nan
8.2 1.25 1 1 1 0.0187306 0.00362558 61446.4 36038.9
8.2 1.25 1 1.2 1 0.0120893 0.00581966 744.426 658.109
8.3 1.25 1 0.6 1 0.0223257 0.00173756 100000 -nan
8.3 1.25 1 0.8 1 0.0206537 0.00240082 100000 -nan
8.3 1.25 1 1 1 0.0179828 0.0033185 64633.2 36135.8
8.3 1.25 1 1.2 1 0.01261 0.00544668 750.147 706.498
8.4 1.25 1 0.6 1 0.0225137 0.00210925 100000 -nan
8.4 1.25 1 0.8 1 0.020483 0.00267852 100000 -nan
8.4 1.25 1 1 1 0.0179052 0.00343793 64975 35835.5
8.4 1.25 1 1.2 1 0.0123285 0.00531384 757.392 713.39
8.5 1.25 1 0.6 1 0.0221244 0.00185124 100000 -nan
8.5 1.25 1 0.8 1 0.0206384 0.00293356 100000 -nan
8.5 1.25 1 1 1 0.0179586 0.00385442 67893.3 35224.1
8.5 1.25 1 1.2 1 0.0127283 0.00500855 786.722 722.818
8.6 1.25 1 0.6 1 0.0219162 0.00158974 100000 -nan
8.6 1.25 1 0.8 1 0.0200596 0.00239362 100000 -nan
8.6 1.25 1 1 1 0.0170923 0.00339159 68246.9 34518.8
8.6 1.25 1 1.2 1 0.0126353 0.00542488 780.928 724.558
8.7 1.25 1 0.6 1 0.0211455 0.00175206 100000 -nan
8.7 1.25 1 0.8 1 0.0201791 0.00284263 100000 -nan
8.7 1.25 1 1 1 0.018347 0.00339672 70722.2 34854.8
8.7 1.25 1 1.2 1 0.0124415 0.00539305 781.011 744.107
8.8 1.25 1 0.6 1 0.021535 0.00168113 100000 -nan
8.8 1.25 1 0.8 1 0.0199246 0.00271594 100000 -nan
8.8 1.25 1 1 1 0.0171949 0.00341043 70903.4 35346
8.8 1.25 1 1.2 1 0.013924 0.00514638 752.262 714.449
8.9 1.25 1 0.6 1 0.021043 0.00159309 100000 -nan
8.9 1.25 1 0.8 1 0.0195306 0.00219509 100000 -nan
8.9 1.25 1 1 1 0.017859 0.0036491 72085.2 34464.8
8.9 1.25 1 1.2 1 0.0120953 0.00518205 772.025 729.444
9 1.25 1 0.6 1 0.0205981 0.00203805 100000 -nan
9 1.25 1 0.8 1 0.0196024 0.00247646 100000 -nan
9 1.25 1 1 1 0.0173228 0.00370657 73489.6 34018.1
9 1.25 1 1.2 1 0.0121127 0.00476381 767.514 705.815
9.1 1.25 1 0.6 1 0.0208358 0.00191831 100000 -nan
9.1 1.25 1 0.8 1 0.0189592 0.00211006 100000 -nan
9.1 1.25 1 1 1 0.016532 0.00335611 72850.7 34546.7
9.1 1.25 1 1.2 1 0.0109603 0.00520408 763.501 717.564
9.2 1.25 1 0.6 1 0.0206754 0.00161038 100000 -nan
9.2 1.25 1 0.8 1 0.0193054 0.00229735 100000 -nan
9.2 1.25 1 1 1 0.0164919 0.0032706 73807.5 34476.3
9.2 1.25 1 1.2 1 0.0126104 0.00488526 782.5 735.44
9.3 1.25 1 0.6 1 0.020643 0.00162092 100000 -nan
9.3 1.25 1 0.8 1 0.0191523 0.00237482 100000 -nan
9.3 1.25 1 1 1 0.016342 0.00355639 74702.7 33193.5
9.3 1.25 1 1.2 1 0.0120494 0.0048485 786.355 685.496
9.4 1.25 1 0.6 1 0.0198394 0.00172271 100000 -nan
9.4 1.25 1 0.8 1 0.0192669 0.00238636 100000 -nan
9.4 1.25 1 1 1 0.016997 0.00317125 76981 33144.8
9.4 1.25 1 1.2 1 0.012171 0.00503143 839.154 776.153
9.5 1.25 1 0.6 1 0.0199791 0.0015887 100000 -nan
9.5 1.25 1 0.8 1 0.0182706 0.00236379 100000 -nan
9.5 1.25 1 1 1 0.0167114 0.00329663 77973.4 32535.4
9.5 1.25 1 1.2 1 0.0125728 0.00482243 806.221 761.072
9.6 1.25 1 0.6 1 0.0199689 0.00163275 100000 -nan
9.6 1.25 1 0.8 1 0.0189085 0.00234711 100000 -nan
9.6 1.25 1 1 1 0.0165044 0.0032735 77450.5 32765.6
9.6 1.25 1 1.2 1 0.0111804 0.00504768 811.334 798.85
9.7 1.25 1 0.6 1 0.0197079 0.00188438 100000 -nan
9.7 1.25 1 0.8 1 0.018488 0.00202821 100000 -nan
9.7 1.25 1 1 1 0.0164305 0.00301034 77339 32406.7
